Breed,2016 Rank,2015 Rank,2014 Rank,2013 Rank
Spaniels (Sussex),172,173,175,162
Finnish Lapphunds,173,169,173,171
Norwegian Buhunds,174,165,172,166
Chinooks,175,177,171,156
Pyrenean Shepherds,176,176,178,169
Komondorok,177,163,168,159
Skye Terriers,178,175,177,161
Finnish Spitz,179,178,174,170
Glen of Imaal Terriers,180,168,162,167
Canaan Dogs,181,170,176,164
Cesky Terriers,182,179,182,174
Cirnechi dell'Etna,183,162,117,
Bergamasco,184,174,96,
Sloughis,185,,,
Harriers,186,183,181,173
English Foxhounds,187,184,183,177
Norwegian Lundehunds,188,182,184,175
American Foxhounds,189,181,180,176
